Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-March-2021,1362.00,1370.40,1346.60,1353.80,1357.048415553271668379,116760,5078,158448973.00,25390,21.75,23.80,-8.20
23-March-2021,1371.00,1383.30,1359.70,1371.20,1373.211482951470322929,133032,5034,182681070.00,34192,25.70,23.60,0.20
22-March-2021,1350.00,1376.00,1335.85,1370.50,1355.205910815575655373,208736,10574,282880261.00,95699,45.85,40.15,20.50
19-March-2021,1335.00,1354.85,1317.90,1345.35,1339.918617632777060705,481898,10948,645704102.00,239055,49.61,36.95,10.35
18-March-2021,1392.55,1394.05,1313.50,1336.25,1348.105674288403772180,405813,25057,547078808.00,126829,31.25,80.55,-56.30
17-March-2021,1391.00,1399.70,1381.90,1387.20,1392.640085586291613053,274343,13220,382061059.00,138956,50.65,17.80,-3.80
16-March-2021,1382.20,1406.25,1380.15,1384.25,1392.860925039872408293,266475,9606,371162615.00,85168,31.96,26.10,2.05
15-March-2021,1370.00,1379.85,1358.10,1373.10,1369.486818699871116176,187766,7117,257143062.00,68143,36.29,21.75,3.10
12-March-2021,1372.00,1390.30,1370.25,1374.60,1382.060373311333402083,242425,7863,335045986.00,66199,27.31,20.05,2.60
10-March-2021,1358.50,1373.80,1354.35,1368.10,1364.298058228571253059,651158,25139,888373595.00,406238,62.39,19.45,9.60
9-March-2021,1329.00,1350.00,1319.00,1345.70,1334.905615618262981158,249554,10878,333131036.00,117322,47.01,31.00,16.70
8-March-2021,1324.60,1346.20,1317.70,1336.30,1332.834088631984585741,259500,9752,345870446.00,133187,51.32,28.50,11.70
5-March-2021,1332.00,1340.00,1306.00,1316.00,1321.818871788204319773,184593,7525,243998511.00,39026,21.14,34.00,-16.00
4-March-2021,1337.70,1363.80,1326.15,1330.30,1341.730230971122547598,1732078,25787,2323981415.00,1315773,75.96,37.65,-7.40
3-March-2021,1316.15,1347.00,1308.45,1343.60,1328.688368086078976054,284390,10706,377865685.00,122296,43.00,38.55,27.45
2-March-2021,1280.00,1310.00,1279.50,1304.05,1295.800848987904586547,506721,19744,656609502.00,243496,48.05,30.50,24.05
1-March-2021,1268.00,1284.55,1259.70,1268.70,1272.664351280446850405,174197,5699,221694312.00,50894,29.22,24.85,0.70
